latency,input_tokens,output_tokens,total_tokens,cost,tokens_per_second,throughput_efficiency
0.31757426261901855,181,18,199,3.9800000000000005e-05,626.6250871807346,125.32501743614692
0.2822868824005127,202,18,220,4.4000000000000006e-05,779.3490017288896,155.86980034577792
0.3336045742034912,221,20,241,4.8200000000000006e-05,722.4121568938544,144.48243137877088
0.4729437828063965,248,35,283,5.660000000000001e-05,598.3797869605328,119.67595739210654
0.3924248218536377,287,29,316,6.32e-05,805.249776268888,161.0499552537776
0.27565765380859375,317,23,340,6.800000000000001e-05,1233.413965846503,246.68279316930062
0.44272446632385254,343,25,368,7.36e-05,831.2167679723585,166.2433535944717
0.28648829460144043,369,21,390,7.8e-05,1361.3121630067435,272.2624326013487
0.35601186752319336,394,30,424,8.48e-05,1190.9715340384753,238.19430680769506
0.26877760887145996,426,18,444,8.880000000000002e-05,1651.923320042401,330.38466400848023
0.3835606575012207,450,34,484,9.680000000000001e-05,1261.8603877496473,252.37207754992946
0.3725712299346924,491,31,522,0.00010440000000000002,1401.0743666157498,280.21487332314996
0.3856368064880371,524,48,572,0.00011440000000000002,1483.2609086491439,296.6521817298288
0.5269641876220703,579,41,620,0.000124,1176.550540934773,235.31010818695458
0.3269188404083252,621,37,658,0.0001316,2012.731964845314,402.54639296906277
0.3562757968902588,662,10,672,0.00013440000000000001,1886.1792068547154,377.2358413709431
0.7010421752929688,676,22,698,0.0001396,995.6604960440541,199.1320992088108
0.34035658836364746,700,35,735,0.00014700000000000002,2159.4998455405344,431.89996910810686
0.38121795654296875,736,31,767,0.0001534,2011.9723817719696,402.39447635439393
0.40291619300842285,770,32,802,0.0001604,1990.4883792626185,398.0976758525237
0.34928131103515625,803,27,830,0.000166,2376.3080754024595,475.26161508049194
