latency,input_tokens,output_tokens,total_tokens,cost,tokens_per_second,throughput_efficiency,model
0.3175742626190185,181,18,199,3.9800000000000005e-05,626.6250871807346,125.32501743614692,gemma2-9b-it
0.2822868824005127,202,18,220,4.4000000000000006e-05,779.3490017288896,155.86980034577792,gemma2-9b-it
0.3336045742034912,221,20,241,4.8200000000000006e-05,722.4121568938544,144.48243137877088,gemma2-9b-it
0.4729437828063965,248,35,283,5.660000000000001e-05,598.3797869605328,119.67595739210654,gemma2-9b-it
0.3924248218536377,287,29,316,6.32e-05,805.249776268888,161.0499552537776,gemma2-9b-it
0.2756576538085937,317,23,340,6.800000000000001e-05,1233.413965846503,246.68279316930065,gemma2-9b-it
0.4427244663238525,343,25,368,7.36e-05,831.2167679723585,166.2433535944717,gemma2-9b-it
0.2864882946014404,369,21,390,7.8e-05,1361.3121630067435,272.2624326013487,gemma2-9b-it
0.3560118675231933,394,30,424,8.48e-05,1190.9715340384753,238.19430680769503,gemma2-9b-it
0.2687776088714599,426,18,444,8.880000000000002e-05,1651.923320042401,330.38466400848023,gemma2-9b-it
0.3835606575012207,450,34,484,9.68e-05,1261.860387749647,252.37207754992943,gemma2-9b-it
0.3725712299346924,491,31,522,0.0001044,1401.0743666157498,280.21487332315,gemma2-9b-it
0.3856368064880371,524,48,572,0.0001144,1483.260908649144,296.6521817298288,gemma2-9b-it
0.5269641876220703,579,41,620,0.000124,1176.550540934773,235.31010818695452,gemma2-9b-it
0.3269188404083252,621,37,658,0.0001316,2012.731964845314,402.5463929690628,gemma2-9b-it
0.3562757968902588,662,10,672,0.0001344,1886.179206854716,377.2358413709431,gemma2-9b-it
0.7010421752929688,676,22,698,0.0001396,995.660496044054,199.1320992088108,gemma2-9b-it
0.3403565883636474,700,35,735,0.000147,2159.4998455405344,431.89996910810686,gemma2-9b-it
0.3812179565429687,736,31,767,0.0001534,2011.9723817719696,402.39447635439393,gemma2-9b-it
0.4029161930084228,770,32,802,0.0001604,1990.4883792626183,398.0976758525237,gemma2-9b-it
0.3492813110351562,803,27,830,0.000166,2376.3080754024595,475.261615080492,gemma2-9b-it
0.3301210403442383,181,2,183,7.32e-06,554.3421279939449,17.882004128836932,llama-3.2-1b-preview
0.3118832111358642,186,27,213,8.52e-06,682.9479510110975,22.030579064874114,llama-3.2-1b-preview
0.304025650024414,218,18,236,9.44e-06,776.2502932928475,25.040332041704755,llama-3.2-1b-preview
0.4101126194000244,237,15,252,1.008e-05,614.4653640959993,19.82146335793546,llama-3.2-1b-preview
0.3889691829681396,259,10,269,1.076e-05,691.5714966088553,22.308757955124367,llama-3.2-1b-preview
0.493830919265747,270,20,290,1.16e-05,587.2455301729319,18.94340419912684,llama-3.2-1b-preview
0.393960952758789,291,18,309,1.236e-05,784.3416913177987,25.30134488121931,llama-3.2-1b-preview
0.3913512229919433,313,18,331,1.324e-05,845.7875702277139,27.283470007345613,llama-3.2-1b-preview
0.4207537174224853,332,31,363,1.452e-05,862.737475556291,27.83024114697713,llama-3.2-1b-preview
0.4418747425079345,366,25,391,1.564e-05,884.8661450546225,28.5440691953104,llama-3.2-1b-preview
0.4684638977050781,394,46,440,1.76e-05,939.2399332274744,30.2980623621766,llama-3.2-1b-preview
0.5109620094299316,441,16,457,1.828e-05,894.3913472351187,28.85133378177802,llama-3.2-1b-preview
0.4650905132293701,458,3,461,1.844e-05,991.2049093391144,31.974351914164984,llama-3.2-1b-preview
0.5839476585388184,462,6,468,1.872e-05,801.4416928583153,25.8529578341392,llama-3.2-1b-preview
1.1725375652313232,181,17,198,0.00012022,168.8645258550311,61.40528212910223,llama-3.3-70b-versatile
1.108100175857544,201,34,235,0.0001454499999999,212.07468884131944,77.1180686695707,llama-3.3-70b-versatile
1.9886598587036133,236,52,288,0.00018032,144.82114612990893,52.66223495633052,llama-3.3-70b-versatile
0.6512935161590576,293,68,361,0.0002265899999999,554.2815812584219,201.5569386394261,llama-3.3-70b-versatile
1.0893816947937012,363,68,431,0.00026789,395.6372702605578,143.86809827656646,llama-3.3-70b-versatile
0.6127433776855469,437,80,517,0.00032103,843.7463689168072,306.8168614242935,llama-3.3-70b-versatile
0.6716971397399902,520,72,592,0.0003636799999999,881.3495919145338,320.4907606961941,llama-3.3-70b-versatile
0.7922987937927246,596,77,673,0.0004124699999999,849.4270157579784,308.88255118471943,llama-3.3-70b-versatile
1.6656241416931152,676,86,762,0.0004667799999999,457.4861644508966,166.3586052548715,llama-3.3-70b-versatile
3.196002960205078,763,100,863,0.0005291699999999,270.02478118625515,98.1908295222746,llama-3.3-70b-versatile
2.9490551948547363,865,96,961,0.00058619,325.8670782685492,118.49711937038154,llama-3.3-70b-versatile
0.5206220149993896,181,135,316,7.583999999999999e-05,606.9662651518308,105.55935046118796,mixtral-8x7b-32768
0.6970291137695312,319,116,435,0.0001043999999999,624.0772320793336,108.53517079640584,mixtral-8x7b-32768
0.5584144592285156,438,144,582,0.00013968,1042.236622604775,181.2585430617,mixtral-8x7b-32768
0.7002782821655273,587,151,738,0.0001771199999999,1053.8667538250977,183.2811745782778,mixtral-8x7b-32768
0.6669814586639404,745,180,925,0.0002219999999999,1386.8451483687534,241.19046058587017,mixtral-8x7b-32768
0.7279348373413086,931,170,1101,0.00026424,1512.4980197695518,263.04313387296554,mixtral-8x7b-32768
0.7655503749847412,1106,199,1305,0.0003131999999999,1704.6559477238986,296.4619039519824,mixtral-8x7b-32768
0.619502067565918,1306,142,1448,0.0003475199999999,2337.361044958782,406.49757303630986,mixtral-8x7b-32768
