latency,input_tokens,output_tokens,total_tokens,cost,tokens_per_second,throughput_efficiency
0.3301210403442383,181,2,183,7.32e-06,554.3421279939449,17.882004128836932
0.31188321113586426,186,27,213,8.52e-06,682.9479510110975,22.030579064874114
0.30402565002441406,218,18,236,9.44e-06,776.2502932928475,25.040332041704755
0.4101126194000244,237,15,252,1.008e-05,614.4653640959993,19.82146335793546
0.38896918296813965,259,10,269,1.076e-05,691.5714966088553,22.308757955124367
0.49383091926574707,270,20,290,1.16e-05,587.2455301729319,18.94340419912684
0.39396095275878906,291,18,309,1.236e-05,784.3416913177987,25.30134488121931
0.39135122299194336,313,18,331,1.324e-05,845.7875702277139,27.283470007345613
0.42075371742248535,332,31,363,1.452e-05,862.737475556291,27.83024114697713
0.44187474250793457,366,25,391,1.564e-05,884.8661450546225,28.5440691953104
0.4684638977050781,394,46,440,1.76e-05,939.2399332274745,30.298062362176598
0.5109620094299316,441,16,457,1.828e-05,894.3913472351187,28.85133378177802
0.4650905132293701,458,3,461,1.844e-05,991.2049093391145,31.974351914164984
0.5839476585388184,462,6,468,1.872e-05,801.4416928583153,25.8529578341392
