latency,input_tokens,output_tokens,total_tokens,cost,tokens_per_second,throughput_efficiency
1.1725375652313232,181,17,198,0.00012022,168.8645258550311,61.405282129102225
1.108100175857544,201,34,235,0.00014544999999999998,212.07468884131944,77.1180686695707
1.9886598587036133,236,52,288,0.00018032,144.82114612990893,52.66223495633052
0.6512935161590576,293,68,361,0.00022658999999999998,554.2815812584219,201.5569386394261
1.0893816947937012,363,68,431,0.00026789,395.6372702605578,143.86809827656646
0.6127433776855469,437,80,517,0.00032103,843.7463689168072,306.8168614242935
0.6716971397399902,520,72,592,0.00036367999999999996,881.3495919145338,320.4907606961941
0.7922987937927246,596,77,673,0.00041246999999999996,849.4270157579784,308.88255118471943
1.6656241416931152,676,86,762,0.00046677999999999997,457.4861644508966,166.3586052548715
3.196002960205078,763,100,863,0.0005291699999999999,270.02478118625515,98.1908295222746
2.9490551948547363,865,96,961,0.00058619,325.8670782685492,118.49711937038154
